dealer_up,initial_hand,actions_taken
2,"[2, 3]","[['H', 'H', 'S']]"
5,"[8, 6]",[['S']]
10,"[10, 4]","[['H', 'S']]"
8,"[4, 6]",[['D']]
3,"[8, 11]",[['S']]
3,"[7, 6]",[['S']]
5,"[10, 5]",[['S']]
10,"[10, 10]",[['S']]
5,"[2, 4]","[['H', 'H', 'S']]"
3,"[4, 8]","[['H', 'S']]"
10,"[8, 10]",[['S']]
4,"[8, 8]","[['P', 'S'], ['S']]"
3,"[6, 2]","[['H', 'S']]"
6,"[5, 11]",[['D']]
7,"[7, 5]","[['H', 'S']]"
4,"[4, 6]",[['D']]
8,"[11, 8]",[['S']]
6,"[2, 10]",[['S']]
5,"[10, 7]",[['S']]
7,"[10, 10]",[['S']]
10,"[11, 11]","[['P'], []]"
5,"[11, 5]",[['D']]
6,"[9, 10]",[['S']]
6,"[2, 10]",[['S']]
7,"[10, 4]","[['H', 'H', 'S']]"
3,"[3, 10]",[['S']]
10,"[4, 4]","[['H', 'H', 'S']]"
7,"[10, 10]",[['S']]
10,"[11, 5]","[['H', 'S']]"
11,"[2, 11]","[['N', 'H', 'S']]"
7,"[4, 3]","[['H', 'S']]"
3,"[2, 10]","[['H', 'S']]"
10,"[9, 10]",[['S']]
10,"[10, 10]",[['S']]
2,"[7, 7]","[['P', 'D'], ['S']]"
10,"[11, 10]",[['S']]
7,"[11, 10]",[['S']]
10,"[10, 8]",[['S']]
8,"[10, 8]",[['S']]
10,"[11, 10]",[['S']]
3,"[9, 10]",[['S']]
6,"[10, 10]",[['S']]
11,"[8, 10]","[['N', 'S']]"
7,"[10, 10]",[['S']]
6,"[10, 10]",[['S']]
9,"[5, 6]",[['D']]
7,"[11, 10]",[['S']]
5,"[2, 10]",[['S']]
5,"[10, 11]",[['S']]
10,"[5, 2]","[['H', 'H', 'S']]"
4,"[10, 5]",[['S']]
9,"[7, 10]",[['S']]
5,"[3, 10]",[['S']]
5,"[10, 10]",[['S']]
6,"[10, 5]",[['S']]
6,"[4, 5]",[['D']]
7,"[4, 3]","[['H', 'S']]"
4,"[2, 5]","[['H', 'S']]"
10,"[10, 11]",[['S']]
3,"[3, 2]","[['H', 'S']]"
4,"[5, 6]",[['D']]
8,"[11, 10]",[['S']]
5,"[10, 10]",[['S']]
10,"[3, 7]","[['H', 'S']]"
5,"[10, 10]",[['S']]
6,"[2, 3]","[['H', 'S']]"
5,"[5, 7]",[['S']]
6,"[10, 8]",[['S']]
11,"[2, 9]","[['N', 'D']]"
10,"[11, 9]",[['S']]
10,"[4, 7]",[['D']]
5,"[11, 10]",[['S']]
5,"[3, 10]",[['S']]
10,"[10, 7]",[['S']]
10,"[2, 11]","[['H', 'H', 'S']]"
10,"[2, 8]","[['H', 'H', 'S']]"
9,"[11, 10]",[['S']]
10,"[3, 2]","[['H', 'H', 'S']]"
5,"[10, 7]",[['S']]
6,"[9, 10]",[['S']]
2,"[8, 10]",[['S']]
7,"[3, 5]","[['H', 'H', 'S']]"
7,"[9, 3]","[['H', 'S']]"
2,"[10, 10]",[['S']]
10,"[10, 11]",[['S']]
10,"[10, 4]","[['H', 'S']]"
2,"[10, 4]",[['S']]
6,"[11, 10]",[['S']]
10,"[9, 11]",[['S']]
5,"[11, 10]",[['S']]
10,"[3, 10]","[['H', 'S']]"
8,"[6, 10]","[['H', 'S']]"
3,"[10, 10]",[['S']]
10,"[8, 10]",[['S']]
6,"[8, 2]",[['D']]
2,"[2, 4]","[['H', 'H', 'S']]"
7,"[3, 6]","[['H', 'S']]"
8,"[6, 7]","[['H', 'H', 'S']]"
3,"[10, 10]",[['S']]
4,"[10, 10]",[['S']]
3,"[10, 11]",[['S']]
5,"[3, 7]",[['D']]
10,"[8, 10]",[['S']]
2,"[10, 4]",[['S']]
2,"[8, 3]",[['D']]
4,"[11, 6]",[['D']]
7,"[10, 6]","[['H', 'S']]"
10,"[2, 7]","[['H', 'S']]"
4,"[10, 9]",[['S']]
10,"[2, 7]","[['H', 'H', 'S']]"
5,"[9, 4]",[['S']]
4,"[5, 11]",[['D']]
2,"[6, 10]",[['S']]
8,"[4, 10]","[['H', 'S']]"
7,"[9, 10]",[['S']]
10,"[3, 7]","[['H', 'S']]"
8,"[11, 6]","[['H', 'S']]"
9,"[10, 10]",[['S']]
8,"[9, 5]","[['H', 'S']]"
10,"[10, 4]","[['H', 'S']]"
10,"[10, 7]",[['S']]
6,"[10, 5]",[['S']]
9,"[10, 10]",[['S']]
3,"[3, 10]",[['S']]
4,"[10, 10]",[['S']]
10,"[8, 6]","[['H', 'H', 'S']]"
2,"[10, 6]",[['S']]
9,"[10, 10]",[['S']]
5,"[10, 10]",[['S']]
8,"[7, 7]","[['H', 'S']]"
10,"[10, 3]","[['H', 'S']]"
4,"[10, 10]",[['S']]
3,"[11, 9]",[['S']]
8,"[5, 9]","[['H', 'H', 'S']]"
4,"[10, 8]",[['S']]
10,"[10, 10]",[['S']]
2,"[10, 3]",[['S']]
9,"[2, 11]","[['H', 'H', 'S']]"
3,"[2, 6]","[['H', 'S']]"
2,"[10, 11]",[['S']]
7,"[3, 10]","[['H', 'H', 'S']]"
6,"[10, 10]",[['S']]
10,"[11, 9]",[['S']]
5,"[10, 10]",[['S']]
4,"[10, 10]",[['S']]
8,"[11, 10]",[['S']]
4,"[9, 10]",[['S']]
10,"[7, 7]","[['H', 'S']]"
4,"[10, 4]",[['S']]
6,"[10, 10]",[['S']]
8,"[11, 10]",[['S']]
5,"[2, 3]","[['H', 'S']]"
6,"[8, 10]",[['S']]
6,"[2, 4]","[['H', 'S']]"
4,"[9, 11]",[['S']]
7,"[10, 11]",[['S']]
4,"[5, 11]",[['D']]
7,"[6, 11]","[['H', 'S']]"
2,"[3, 3]","[['P', 'H', 'S'], ['D']]"
10,"[10, 9]",[['S']]
5,"[2, 10]",[['S']]
5,"[8, 10]",[['S']]
5,"[5, 10]",[['S']]
10,"[10, 10]",[['S']]
2,"[4, 3]","[['H', 'S']]"
10,"[2, 8]","[['H', 'S']]"
8,"[8, 2]",[['D']]
10,"[9, 3]","[['H', 'H', 'H', 'S']]"
11,"[3, 11]","[['N', 'H', 'H', 'S']]"
3,"[4, 6]",[['D']]
4,"[7, 9]",[['S']]
9,"[5, 8]","[['H', 'S']]"
9,"[5, 5]",[['D']]
6,"[10, 8]",[['S']]
6,"[6, 10]",[['S']]
8,"[3, 7]",[['D']]
5,"[8, 11]",[['S']]
10,"[10, 10]",[['S']]
7,"[10, 3]","[['H', 'H', 'S']]"
5,"[10, 3]",[['S']]
6,"[3, 10]",[['S']]
7,"[5, 5]",[['D']]
6,"[9, 11]",[['S']]
7,"[10, 9]",[['S']]
2,"[11, 10]",[['S']]
7,"[10, 10]",[['S']]
9,"[10, 10]",[['S']]
5,"[10, 9]",[['S']]
2,"[9, 11]",[['S']]
10,"[10, 11]",[['S']]
6,"[6, 4]",[['D']]
2,"[2, 8]",[['D']]
8,"[10, 10]",[['S']]
6,"[6, 7]",[['S']]
10,"[10, 8]",[['S']]
9,"[7, 11]","[['H', 'H', 'S']]"
7,"[10, 10]",[['S']]
6,"[10, 10]",[['S']]
7,"[10, 10]",[['S']]
6,"[5, 3]","[['H', 'S']]"
8,"[10, 10]",[['S']]
5,"[5, 3]","[['H', 'S']]"
10,"[6, 6]","[['H', 'S']]"
4,"[11, 9]",[['S']]
10,"[2, 5]","[['H', 'S']]"
10,"[10, 10]",[['S']]
11,"[2, 10]","[['N', 'H', 'S']]"
10,"[9, 2]",[['D']]
10,"[3, 4]","[['H', 'S']]"
5,"[10, 10]",[['S']]
2,"[10, 8]",[['S']]
2,"[11, 11]","[['P'], []]"
9,"[7, 7]","[['H', 'S']]"
10,"[10, 11]",[['S']]
11,"[3, 7]","[['N', 'H', 'H', 'S']]"
8,"[7, 11]",[['S']]
10,"[8, 6]","[['H', 'S']]"
2,"[5, 11]","[['H', 'H', 'S']]"
6,"[4, 10]",[['S']]
6,"[11, 2]",[['D']]
10,"[11, 10]",[['S']]
8,"[6, 3]","[['H', 'S']]"
10,"[5, 3]","[['H', 'H', 'S']]"
10,"[7, 4]",[['D']]
8,"[10, 3]","[['H', 'S']]"
11,"[10, 10]","[['N', 'S']]"
4,"[2, 7]",[['D']]
2,"[11, 10]",[['S']]
9,"[10, 3]","[['H', 'S']]"
4,"[8, 7]",[['S']]
4,"[10, 9]",[['S']]
7,"[5, 9]","[['H', 'H', 'S']]"
5,"[10, 7]",[['S']]
3,"[9, 2]",[['D']]
7,"[6, 4]",[['D']]
10,"[10, 8]",[['S']]
10,"[10, 9]",[['S']]
10,"[7, 3]","[['H', 'S']]"
3,"[9, 10]",[['S']]
5,"[4, 5]",[['D']]
9,"[8, 5]","[['H', 'S']]"
6,"[3, 10]",[['S']]
10,"[7, 6]","[['H', 'S']]"
3,"[6, 10]",[['S']]
10,"[5, 2]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
2,"[3, 9]","[['H', 'S']]"
5,"[6, 10]",[['S']]
10,"[10, 10]",[['S']]
9,"[11, 10]",[['S']]
2,"[7, 9]",[['S']]
8,"[10, 10]",[['S']]
10,"[10, 10]",[['S']]
2,"[3, 2]","[['H', 'S']]"
10,"[7, 2]","[['H', 'S']]"
10,"[8, 3]",[['D']]
5,"[9, 6]",[['S']]
6,"[10, 10]",[['S']]
3,"[2, 8]",[['D']]
5,"[8, 7]",[['S']]
4,"[11, 10]",[['S']]
10,"[5, 5]","[['H', 'S']]"
8,"[8, 10]",[['S']]
2,"[10, 10]",[['S']]
3,"[10, 11]",[['S']]
8,"[10, 10]",[['S']]
10,"[11, 10]",[['S']]
4,"[7, 3]",[['D']]
9,"[8, 9]",[['S']]
2,"[11, 9]",[['S']]
5,"[10, 10]",[['S']]
5,"[11, 5]",[['D']]
10,"[9, 10]",[['S']]
3,"[5, 6]",[['D']]
5,"[6, 11]",[['D']]
11,"[10, 10]","[['N', 'S']]"
4,"[10, 11]",[['S']]
4,"[9, 10]",[['S']]
5,"[2, 6]","[['H', 'S']]"
4,"[9, 9]","[['P', 'S'], ['D']]"
4,"[4, 5]",[['D']]
8,"[10, 10]",[['S']]
10,"[10, 10]",[['S']]
9,"[4, 7]",[['D']]
6,"[2, 5]","[['H', 'S']]"
